Gene,TSG.Training.Set,OG.Training.Set,Neutral.Genes,lincRNA
ENSG00000205500.8_11,0,0,0,0
ENSG00000231636.1_9,0,0,0,0
ENSG00000272056.1_9,0,0,0,0
ENSG00000229122.1_7,0,0,0,0
ENSG00000272148.1_8,0,0,0,0
ENSG00000234945.8_19,0,0,0,0
ENSG00000234072.1_9,0,0,0,0
ENSG00000259080.1_10,0,0,0,0
ENSG00000205334.4_10,0,0,0,1
ENSG00000289326.2_2,0,0,1,1
ENSG00000223522.2_10,0,0,0,0
ENSG00000229951.6_12,0,0,0,0
ENSG00000270640.1_11,0,0,0,0
ENSG00000270210.1_10,0,0,1,1
ENSG00000227938.1_10,0,0,1,1
ENSG00000230730.1_10,0,0,0,0
ENSG00000226833.7_12,0,0,0,0
ENSG00000273233.1_8,0,0,0,0
ENSG00000229224.2_11,0,0,1,1
ENSG00000286963.1_3,0,0,0,0
ENSG00000288553.1_5,0,0,0,0
ENSG00000230737.1_8,0,0,0,0
ENSG00000197644.2_8,0,0,0,0
ENSG00000233862.8_12,0,0,1,1
ENSG00000287658.1_4,0,0,1,1
ENSG00000235997.4_9,0,0,0,1
ENSG00000280154.1_7,0,0,1,1
ENSG00000278908.1_9,0,0,1,1
ENSG00000285984.1_6,0,0,1,1
ENSG00000234579.1_7,0,0,0,0
ENSG00000228563.1_8,0,0,0,0
ENSG00000223647.1_8,0,0,1,1
ENSG00000273165.1_8,0,0,1,1
ENSG00000271228.1_8,0,0,0,0
ENSG00000288937.2_2,0,0,1,1
ENSG00000272716.2_9,0,0,1,1
ENSG00000289727.1_1,0,0,0,0
ENSG00000272754.1_10,0,0,1,1
ENSG00000230046.1_9,0,0,0,0
ENSG00000276334.1_8,0,0,0,0
ENSG00000276517.1_8,0,0,0,0
ENSG00000274159.1_8,0,0,0,0
ENSG00000290864.1_1,0,0,0,0
ENSG00000279544.1_4,0,0,0,0
ENSG00000230876.8_8,0,0,0,1
ENSG00000236854.2_12,0,0,0,1
ENSG00000285577.1_6,0,0,0,0
ENSG00000286415.1_3,0,0,1,1
ENSG00000228262.11_18,0,0,0,1
ENSG00000237790.1_7,0,0,1,1
ENSG00000285754.1_6,0,0,1,1
ENSG00000272027.2_12,0,0,1,1
ENSG00000232153.3_11,0,0,1,1
ENSG00000226994.9_15,0,0,1,1
ENSG00000237320.2_8,0,0,1,1
ENSG00000288535.1_5,0,0,1,1
ENSG00000260025.2_9,0,0,1,1
ENSG00000273090.1_8,0,0,0,0
ENSG00000279519.1_7,0,0,0,0
ENSG00000272054.1_10,0,0,0,0
ENSG00000232028.1_9,0,0,1,1
ENSG00000285925.1_4,0,0,0,0
ENSG00000287316.1_5,0,0,1,1
ENSG00000289545.2_2,0,0,1,1
ENSG00000236213.4_11,0,0,0,0
ENSG00000290100.1_1,0,0,0,0
ENSG00000236572.1_10,0,0,1,1
ENSG00000237803.6_9,0,0,0,1
ENSG00000235848.4_17,0,0,0,0
ENSG00000232973.14_17,0,0,0,0
ENSG00000280276.1_3,0,0,1,1
ENSG00000229160.1_10,0,0,1,1
ENSG00000273006.1_8,0,0,1,1
ENSG00000227292.1_11,0,0,1,1
ENSG00000288994.1_1,0,0,0,0
ENSG00000231367.6_11,0,0,1,1
ENSG00000287313.1_3,0,0,1,1
ENSG00000235009.1_6,0,0,1,1
ENSG00000235586.1_9,0,0,0,0
ENSG00000232518.3_15,0,0,0,0
ENSG00000225284.1_8,0,0,0,0
ENSG00000269210.3_9,0,0,0,0
ENSG00000229692.3_13,0,0,0,0
ENSG00000273035.1_10,0,0,0,0
ENSG00000231312.8_13,0,0,0,0
ENSG00000289003.1_1,0,0,1,1
ENSG00000227028.6_15,0,0,0,0
ENSG00000289013.1_1,0,0,0,0
ENSG00000288992.2_2,0,0,0,0
ENSG00000287255.3_4,0,0,0,0
ENSG00000285898.1_3,0,0,0,0
ENSG00000287468.1_5,0,0,1,1
ENSG00000233128.2_8,0,0,1,1
ENSG00000287145.1_5,0,0,1,1
ENSG00000214691.9_8,0,0,1,1
ENSG00000234362.7_10,0,0,1,1
ENSG00000205086.8_11,0,0,0,1
ENSG00000226398.1_11,0,0,1,1
ENSG00000224875.2_9,0,0,0,0
ENSG00000288886.2_2,0,0,0,0
ENSG00000289082.1_1,0,0,1,1
ENSG00000231826.9_12,0,0,0,1
ENSG00000233978.1_10,0,0,1,1
ENSG00000230587.5_11,0,0,0,1
ENSG00000286796.1_3,0,0,1,1
ENSG00000287387.1_3,0,0,0,0
ENSG00000279873.2_6,0,0,0,1
ENSG00000234936.1_10,0,0,0,0
ENSG00000288707.1_2,0,0,0,0
ENSG00000273106.1_8,0,0,0,0
ENSG00000289272.1_1,0,0,0,0
ENSG00000259439.3_11,0,0,0,1
ENSG00000278957.1_10,0,0,1,1
ENSG00000236502.3_8,0,0,0,0
ENSG00000225156.2_10,0,0,1,1
ENSG00000231156.1_7,0,0,1,1
ENSG00000205054.9_10,0,1,0,1
ENSG00000231054.1_8,0,0,1,1
ENSG00000286728.1_3,0,0,1,1
ENSG00000286519.1_3,0,0,1,1
ENSG00000228481.1_10,0,0,0,0
ENSG00000232696.1_9,0,0,0,0
ENSG00000231336.1_10,0,0,0,0
ENSG00000228100.2_9,1,1,0,1
ENSG00000187600.14_9,0,0,1,1
ENSG00000284608.1_8,0,0,0,0
ENSG00000253515.2_9,0,0,0,0
ENSG00000250116.2_9,0,0,0,0
ENSG00000279254.1_7,0,0,1,1
ENSG00000222005.9_9,0,0,0,0
ENSG00000239332.7_11,0,0,0,1
ENSG00000226548.1_10,0,0,1,1
ENSG00000228925.1_10,0,0,0,0
ENSG00000272814.1_8,0,0,0,0
ENSG00000233845.1_9,0,0,0,0
ENSG00000225187.1_9,0,0,0,0
ENSG00000234690.7_12,0,0,1,1
ENSG00000226087.4_11,0,0,1,1
ENSG00000235760.4_12,0,0,0,0
ENSG00000233230.3_11,1,0,0,0
ENSG00000230773.9_14,0,0,1,1
ENSG00000272663.1_10,0,0,1,1
ENSG00000282890.1_9,0,0,0,0
ENSG00000282998.1_10,0,0,1,1
ENSG00000282828.2_10,0,0,1,1
ENSG00000285548.1_4,0,0,0,0
ENSG00000283058.1_3,0,0,0,0
ENSG00000286412.1_3,0,0,0,0
ENSG00000231918.1_11,0,0,0,0
ENSG00000287867.1_3,0,0,1,1
ENSG00000287344.1_5,0,0,1,1
ENSG00000225444.2_9,0,0,1,1
ENSG00000236837.1_11,0,0,1,1
ENSG00000228033.6_11,0,0,1,1
ENSG00000232604.1_8,0,0,1,1
ENSG00000272156.1_10,0,0,0,0
ENSG00000289065.1_1,0,0,0,0
ENSG00000228108.1_11,0,0,0,0
ENSG00000234943.2_12,0,0,0,0
ENSG00000289627.1_1,0,0,0,0
ENSG00000238018.2_13,0,0,0,0
ENSG00000231334.2_9,0,0,0,0
ENSG00000285519.1_7,0,0,0,0
ENSG00000290071.1_1,0,0,1,1
ENSG00000203327.2_11,0,0,0,0
ENSG00000289606.1_1,0,0,0,0
ENSG00000240401.9_19,0,0,0,0
ENSG00000272606.2_10,0,0,0,0
ENSG00000272180.1_9,0,0,1,1
ENSG00000226702.2_9,0,0,1,1
ENSG00000229805.1_8,0,0,1,1
ENSG00000271894.1_9,0,0,0,0
ENSG00000233251.8_10,0,0,0,0
ENSG00000285755.2_7,0,0,1,1
ENSG00000287875.1_5,0,0,0,0
ENSG00000273063.1_8,0,0,0,0
ENSG00000225226.2_9,0,0,1,1
ENSG00000233723.11_12,0,0,0,1
ENSG00000289529.2_2,0,0,1,1
ENSG00000285673.1_4,0,0,1,1
ENSG00000222030.1_8,0,0,0,1
ENSG00000271955.2_12,0,0,1,1
ENSG00000233891.8_12,0,0,1,1
ENSG00000231815.2_8,0,0,1,1
ENSG00000286604.1_3,0,0,1,1
ENSG00000285611.2_6,0,0,1,1
ENSG00000228590.4_13,0,1,0,1
ENSG00000287640.1_4,0,0,1,1
ENSG00000233953.1_7,0,1,0,0
ENSG00000228414.8_11,0,1,0,1
ENSG00000267520.2_11,0,0,0,0
ENSG00000274769.1_11,0,0,0,0
ENSG00000212978.6_12,0,0,1,1
ENSG00000271889.1_10,0,0,0,0
ENSG00000273302.1_8,0,0,0,0
ENSG00000270820.8_11,0,0,0,0
ENSG00000285857.1_3,0,0,0,0
ENSG00000289410.2_2,0,0,1,1
ENSG00000289855.1_1,0,0,1,1
ENSG00000289247.1_1,0,0,1,1
ENSG00000236498.1_9,0,0,0,0
ENSG00000286360.1_5,0,0,0,0
ENSG00000229839.6_11,0,0,0,0
ENSG00000228541.3_6,0,0,1,1
ENSG00000226622.7_13,0,0,1,1
ENSG00000286524.1_5,0,0,0,0
ENSG00000226605.1_10,0,0,0,0
ENSG00000231609.7_13,0,0,0,0
ENSG00000286480.1_4,0,0,0,0
ENSG00000279485.1_4,0,0,0,0
ENSG00000289943.1_1,0,0,1,1
ENSG00000228079.2_11,0,0,1,1
ENSG00000225889.10_12,0,0,0,0
ENSG00000230923.2_9,0,0,0,1
ENSG00000288932.2_2,0,0,1,1
ENSG00000290118.1_1,0,0,1,1
ENSG00000238012.2_8,0,0,1,1
ENSG00000289176.1_1,0,0,1,1
ENSG00000238201.1_10,0,0,1,1
ENSG00000223935.3_10,0,0,1,1
ENSG00000223863.1_6,0,0,1,1
ENSG00000260101.2_9,0,0,1,1
ENSG00000233694.6_9,0,0,1,1
ENSG00000226756.1_8,0,0,0,0
ENSG00000288986.1_1,0,0,1,1
ENSG00000287123.1_4,0,0,1,1
ENSG00000234572.1_8,0,0,0,1
ENSG00000237638.3_12,0,0,0,0
ENSG00000232613.2,0,0,0,1
ENSG00000232693.2_12,0,0,0,0
ENSG00000204929.13_12,0,0,1,1
ENSG00000234255.9_19,0,0,1,1
ENSG00000235725.1_8,0,0,1,1
ENSG00000281920.1_9,0,0,1,1
ENSG00000280257.1_8,0,0,1,1
ENSG00000227293.1_7,0,0,1,1
ENSG00000225815.2_9,0,0,1,1
ENSG00000232164.1_8,0,0,1,1
ENSG00000226819.1_9,0,0,0,0
ENSG00000230749.5_10,0,0,0,0
ENSG00000232046.7_8,0,0,1,1
ENSG00000237179.6_9,0,0,1,1
ENSG00000230525.6_8,0,0,1,1
ENSG00000232688.2_10,0,0,0,1
ENSG00000223859.1_8,0,0,1,1
ENSG00000235885.8_16,0,0,1,1
ENSG00000236780.7_10,0,0,0,0
ENSG00000236605.1_8,0,0,1,1
ENSG00000289533.1_1,0,0,1,1
ENSG00000224173.2_7,0,0,1,1
ENSG00000235495.1_11,0,0,1,1
ENSG00000286002.1_4,0,0,1,1
ENSG00000237013.1_8,0,0,1,1
ENSG00000273275.1_8,0,0,0,0
ENSG00000289156.2_2,0,0,0,0
ENSG00000273064.1_10,0,0,0,0
ENSG00000203395.2_10,0,0,0,0
ENSG00000228329.3_10,0,0,0,0
ENSG00000237576.2_11,0,0,1,1
ENSG00000286347.1_5,0,0,0,0
ENSG00000289250.1_1,0,0,0,0
ENSG00000231024.1_10,0,0,0,0
ENSG00000288869.2_3,0,0,0,0
ENSG00000179818.17_13,0,0,0,0
ENSG00000233060.1_10,0,0,1,1
ENSG00000231327.3_10,0,0,0,1
ENSG00000233849.1_8,0,0,0,0
ENSG00000229229.1_8,0,0,1,1
ENSG00000224606.1_9,0,0,0,0
ENSG00000286979.1_3,0,0,0,0
ENSG00000235035.1_10,0,0,0,0
ENSG00000237751.2_8,0,0,0,1
ENSG00000239322.1_11,0,0,0,0
ENSG00000228384.4_10,0,0,0,0
ENSG00000236469.1_12,0,0,0,0
ENSG00000290930.1_1,0,0,1,1
ENSG00000272735.2_9,0,0,0,0
ENSG00000288065.1_3,0,0,0,0
ENSG00000281195.1_9,0,0,0,0
ENSG00000289463.1_1,0,0,0,0
ENSG00000289327.2_2,0,0,0,0
ENSG00000289615.2_2,0,0,0,0
ENSG00000278060.1_10,0,0,0,0
ENSG00000272702.1_10,0,0,0,0
ENSG00000287435.1_5,0,0,1,1
ENSG00000285068.1_9,0,0,1,1
ENSG00000230002.3_9,0,0,0,0
ENSG00000284902.1_3,0,0,0,0
ENSG00000290727.1_2,0,0,0,0
ENSG00000273245.1_8,0,0,1,1
ENSG00000280037.1_7,0,0,1,1
ENSG00000287250.1_5,0,0,1,1
ENSG00000286244.1_6,0,0,0,0
ENSG00000237883.4_13,0,1,0,0
ENSG00000235499.1_10,0,0,0,0
ENSG00000279181.1_7,0,0,0,0
ENSG00000217702.3_11,0,0,0,0
ENSG00000225439.4_11,0,0,0,1
ENSG00000279201.1_7,0,0,0,0
ENSG00000279070.2_10,0,0,0,0
ENSG00000237737.6_10,0,0,0,0
ENSG00000286623.1_5,0,0,0,0
ENSG00000286883.1_5,0,0,0,0
ENSG00000272183.1_8,0,0,0,0
ENSG00000257702.5_11,0,1,0,0
ENSG00000286739.2_5,0,0,1,1
ENSG00000287687.2_6,0,0,1,1
ENSG00000272711.1_8,0,0,1,1
ENSG00000204792.2_6,0,0,0,1
ENSG00000236209.1_10,0,0,1,1
ENSG00000230836.1_6,0,0,0,1
ENSG00000270571.2_10,0,0,0,0
ENSG00000237293.1_7,0,0,0,0
ENSG00000231172.2_8,0,0,0,0
ENSG00000270696.1_12,0,0,0,0
ENSG00000271452.1_11,0,0,0,0
ENSG00000270462.1_10,0,0,0,0
ENSG00000286045.1_6,0,0,0,0
ENSG00000270996.1_10,0,0,1,1
ENSG00000287474.1_3,0,0,1,1
ENSG00000287172.1_4,0,0,1,1
ENSG00000287749.1_6,0,0,1,1
ENSG00000287026.1_5,0,0,1,1
ENSG00000287130.1_3,0,0,1,1
ENSG00000286202.1_6,0,0,1,1
ENSG00000287025.1_5,0,0,0,0
ENSG00000234653.1_7,0,0,0,0
ENSG00000286932.1_5,0,0,0,0
ENSG00000227088.2_12,0,0,1,1
ENSG00000230968.1_8,0,0,1,1
ENSG00000233605.3_8,0,0,1,1
ENSG00000229494.2_8,0,0,1,1
ENSG00000234877.2_7,0,0,1,1
ENSG00000286260.1_6,0,0,1,1
ENSG00000290771.1_2,0,0,1,1
ENSG00000224879.1_6,0,0,0,0
ENSG00000286227.1_7,0,0,0,0
ENSG00000229385.2_9,0,0,0,0
ENSG00000224731.1_10,0,0,0,0
ENSG00000237031.7_11,0,0,0,0
ENSG00000230975.1_10,0,0,1,1
ENSG00000235519.3_10,0,0,1,1
ENSG00000231781.1_7,0,0,1,1
ENSG00000237498.3_10,0,0,1,1
ENSG00000286211.1_4,0,0,1,1
ENSG00000232548.1_6,0,0,1,1
ENSG00000228272.1_5,0,0,1,1
ENSG00000289076.2_2,0,0,0,0
ENSG00000287625.1_4,0,0,1,1
ENSG00000290085.1_1,0,0,1,1
ENSG00000260840.2_10,0,0,1,1
ENSG00000231134.1_7,0,0,0,0
ENSG00000290110.1_1,0,0,0,0
ENSG00000273196.1_10,0,0,0,0
ENSG00000286011.2_11,0,0,0,0
ENSG00000286532.2_3,0,0,0,1
ENSG00000288858.2_2,0,0,1,1
ENSG00000229498.1_8,0,0,1,1
ENSG00000232504.5_9,0,0,0,0
ENSG00000272564.1_8,0,0,0,0
ENSG00000287628.1_5,0,0,1,1
ENSG00000273080.2_11,0,0,0,0
ENSG00000228363.2_13,0,0,0,0
ENSG00000291013.1_2,0,0,0,0
ENSG00000285793.1_6,0,0,1,1
ENSG00000287931.1_4,0,0,1,1
ENSG00000281477.1_8,0,0,1,1
ENSG00000287763.1_4,0,0,1,1
ENSG00000280721.1_9,0,0,0,1
ENSG00000222041.13_9,0,1,0,1
ENSG00000284879.1_4,0,0,0,0
ENSG00000273445.1_9,0,0,1,1
ENSG00000289429.1_1,0,0,1,1
ENSG00000287670.1_6,0,0,1,1
ENSG00000288734.2_2,0,0,1,1
ENSG00000225420.1_8,0,0,0,0
ENSG00000234028.4_10,0,0,0,0
ENSG00000291127.1_2,0,0,1,1
ENSG00000290802.1_2,0,0,1,1
ENSG00000240040.6_12,0,0,1,1
ENSG00000290104.1_1,0,0,1,1
ENSG00000281904.1_10,0,0,1,1
ENSG00000261600.1_10,0,0,1,1
ENSG00000291150.1_2,0,0,1,1
ENSG00000290846.1_2,0,0,1,1
ENSG00000290869.1_2,0,0,1,1
ENSG00000290565.1_2,0,0,1,1
ENSG00000286698.1_5,0,0,1,1
ENSG00000290575.1_2,0,0,1,1
ENSG00000289811.1_1,0,0,1,1
ENSG00000291024.1_1,0,0,1,1
ENSG00000291025.1_1,0,0,0,0
ENSG00000233850.1_10,0,0,0,0
ENSG00000231062.1_10,0,0,0,0
ENSG00000287362.1_4,0,0,1,1
ENSG00000288960.2_2,0,0,1,1
ENSG00000289370.2_2,0,0,1,1
ENSG00000272913.2_9,0,0,1,1
ENSG00000291126.1_1,0,0,1,1
ENSG00000273305.1_8,0,0,1,1
ENSG00000235584.3_7,0,0,1,1
ENSG00000290897.1_2,0,0,1,1
ENSG00000232931.6_10,0,1,0,1
ENSG00000291176.1_2,0,0,0,0
ENSG00000228873.1_10,0,0,1,1
ENSG00000204685.9_11,0,0,0,0
ENSG00000230747.1_11,0,0,0,0
ENSG00000235480.1_10,0,0,1,1
ENSG00000273265.1_9,0,0,0,1
ENSG00000289135.2_2,0,0,1,1
ENSG00000286654.1_5,0,0,0,0
ENSG00000279791.1_3,0,0,1,1
ENSG00000277701.5_5,0,0,1,1
ENSG00000237837.1,0,0,0,1
ENSG00000230606.6,0,0,0,1
ENSG00000278766.2_11,0,0,1,1
ENSG00000286036.1_4,0,0,1,1
ENSG00000222000.7_10,0,0,0,0
ENSG00000227987.1_9,0,0,0,0
ENSG00000226791.9_14,0,0,1,1
ENSG00000273306.1_8,0,0,0,0
ENSG00000230393.1_8,0,1,0,0
ENSG00000232084.5_6,0,0,0,1
ENSG00000234988.4_11,0,0,1,1
ENSG00000287832.1_5,0,0,1,1
ENSG00000234169.1_8,0,0,1,1
ENSG00000228488.1_10,0,0,1,1
ENSG00000286737.1_3,0,0,1,1
ENSG00000289077.1_1,0,0,1,1
ENSG00000232034.1_6,0,0,0,0
ENSG00000230140.7_11,0,0,0,0
ENSG00000223947.1_10,0,0,0,0
ENSG00000272902.2_8,0,0,0,0
ENSG00000223826.1_6,0,0,1,1
ENSG00000286047.1_4,0,0,1,1
ENSG00000286101.1_6,0,0,1,1
ENSG00000288948.1_1,0,0,0,0
ENSG00000289167.1_1,0,0,1,1
ENSG00000281162.4_8,0,0,0,1
ENSG00000287771.1_3,0,0,1,1
ENSG00000226925.1_9,0,0,0,0
ENSG00000236525.1_6,0,0,0,0
ENSG00000234389.1_9,0,0,0,0
ENSG00000277527.2_9,0,0,0,0
ENSG00000224095.1_8,0,0,0,0
ENSG00000227680.1_8,0,0,0,0
ENSG00000229209.1_7,0,0,1,1
ENSG00000286290.1_3,0,0,1,1
ENSG00000232597.6_10,0,0,1,1
ENSG00000236141.2_8,0,0,1,1
ENSG00000256637.9_13,0,0,1,1
ENSG00000228968.1_7,0,0,1,1
ENSG00000227157.2_10,0,0,1,1
ENSG00000225765.3_10,0,0,1,1
ENSG00000287793.1_3,0,0,1,1
ENSG00000235597.3_10,0,0,0,1
ENSG00000234781.2_9,0,0,1,1
ENSG00000231626.1_10,0,0,1,1
ENSG00000236109.2_8,0,0,1,1
ENSG00000288565.1_5,0,0,1,1
ENSG00000230690.2_12,0,0,1,1
ENSG00000228528.2_8,0,0,1,1
ENSG00000279904.1_4,0,0,1,1
ENSG00000234177.5_10,0,0,0,1
ENSG00000233639.9_11,0,1,0,1
ENSG00000269707.2_13,0,0,0,0
ENSG00000289498.1_1,0,0,1,1
ENSG00000229743.6_13,0,0,1,1
ENSG00000287135.1_5,0,0,1,1
ENSG00000224509.4_12,0,0,0,0
ENSG00000231851.6_11,0,0,0,0
ENSG00000226508.1_6,0,0,1,1
ENSG00000272861.1_8,0,0,1,1
ENSG00000235319.1_8,0,0,0,0
ENSG00000272994.2_9,0,0,1,1
ENSG00000238273.3_10,0,0,0,0
ENSG00000287036.1_7,0,0,1,1
ENSG00000287308.1_5,0,0,1,1
ENSG00000290119.1_1,0,0,0,0
ENSG00000235522.6_14,0,0,0,0
ENSG00000234162.3_12,0,0,0,0
ENSG00000233339.1_8,0,0,0,0
ENSG00000291125.1_2,0,0,0,0
ENSG00000232001.2_8,0,0,0,0
ENSG00000231505.1_10,0,0,0,0
ENSG00000238250.1_9,0,0,0,0
ENSG00000227294.1_8,0,0,0,0
ENSG00000286218.2_7,0,0,1,1
ENSG00000229457.1_9,0,0,1,1
ENSG00000225588.2_7,0,0,1,1
ENSG00000237880.2_9,0,0,0,1
ENSG00000224568.3_9,0,0,1,1
ENSG00000286769.1_5,0,0,1,1
ENSG00000232991.5_4,0,1,0,1
ENSG00000230651.8_14,0,0,0,1
ENSG00000231221.1_6,0,0,1,1
ENSG00000225328.2_9,0,0,1,1
ENSG00000290794.1_2,0,0,1,1
ENSG00000214184.3_8,0,0,0,0
ENSG00000228763.1_8,0,0,0,0
ENSG00000259863.1_6,0,0,0,1
ENSG00000230696.1_11,0,0,0,0
ENSG00000282033.1_10,0,0,1,1
ENSG00000290731.1_2,0,0,0,0
ENSG00000283684.1_5,0,0,0,0
ENSG00000204588.5_8,0,1,0,1
ENSG00000290732.1_2,0,0,0,0
ENSG00000282304.1_11,0,0,1,1
ENSG00000175772.11_9,0,0,0,1
ENSG00000273471.1_11,0,0,0,0
ENSG00000290733.1_2,0,0,0,0
ENSG00000227574.2_10,0,0,0,0
ENSG00000231536.1_8,0,0,1,1
ENSG00000289202.3_3,0,0,1,1
ENSG00000235881.2_11,0,0,1,1
ENSG00000172965.17_11,0,1,0,0
ENSG00000204581.3_10,0,0,0,0
ENSG00000230499.1_8,0,0,1,1
ENSG00000271590.1_9,0,0,1,1
ENSG00000229118.1_6,0,0,1,1
ENSG00000270190.1_10,0,0,1,1
ENSG00000285016.1_8,0,0,0,0
ENSG00000280878.1_10,0,0,0,0
ENSG00000240350.3_15,0,0,0,1
ENSG00000225744.1_9,0,0,0,0
ENSG00000286904.1_5,0,0,0,0
ENSG00000287141.1_5,0,0,0,0
ENSG00000278962.1_7,0,0,1,1
ENSG00000286545.1_3,0,0,0,0
ENSG00000243389.1_11,0,0,0,0
ENSG00000228251.1_11,0,0,1,1
ENSG00000237753.2_13,0,0,1,1
ENSG00000287937.1_5,0,0,1,1
ENSG00000280228.1_7,0,0,1,1
ENSG00000234174.1_10,0,0,0,0
ENSG00000189223.15_9,1,0,0,0
ENSG00000258395.1,0,0,0,0
ENSG00000234997.3_11,0,0,1,1
ENSG00000289035.1_1,0,0,1,1
ENSG00000272563.1_8,0,0,1,1
ENSG00000234148.3_8,0,0,1,1
ENSG00000231943.11_11,0,0,0,1
ENSG00000226516.7_6,0,0,0,1
ENSG00000287165.1_5,0,0,1,1
ENSG00000291134.1_2,0,0,1,1
ENSG00000279267.1_8,0,0,1,1
ENSG00000233479.1_8,0,0,1,1
ENSG00000227359.1_11,0,0,0,1
ENSG00000244063.1_11,0,0,1,1
ENSG00000228857.3_8,0,0,0,0
ENSG00000270019.2_9,0,0,1,1
ENSG00000279957.1_3,0,0,0,0
ENSG00000234199.3_10,0,0,0,1
ENSG00000243179.1_9,0,0,1,1
ENSG00000286513.1_4,0,0,1,1
ENSG00000235242.1_10,0,0,1,1
ENSG00000231538.1_9,0,0,0,0
ENSG00000235717.1_9,0,0,0,0
ENSG00000286776.1_5,0,0,0,0
ENSG00000235026.8_12,0,0,0,0
ENSG00000287451.1_5,0,0,0,0
ENSG00000286370.1_3,0,0,1,1
ENSG00000238207.2_10,0,0,1,1
ENSG00000236255.2_10,0,0,1,1
ENSG00000290590.1_1,0,0,0,0
ENSG00000235066.7_13,0,0,0,0
ENSG00000272895.1_9,0,0,0,0
ENSG00000279227.2_8,0,0,1,1
ENSG00000226856.9_10,0,1,0,1
ENSG00000258910.3_9,0,0,1,1
ENSG00000259094.1_10,0,0,0,0
ENSG00000229867.2_10,0,0,0,0
ENSG00000231013.2_9,0,0,0,0
ENSG00000224789.1_10,0,0,0,0
ENSG00000289091.2_2,0,0,0,0
ENSG00000235840.1_10,0,0,1,1
ENSG00000280409.1_5,0,0,0,0
ENSG00000237614.3_10,0,0,1,1
ENSG00000232140.2_8,0,0,1,1
ENSG00000229774.1_8,0,0,1,1
ENSG00000271709.1_10,0,0,0,0
ENSG00000234455.1_7,0,0,1,1
ENSG00000236145.1_8,0,0,1,1
ENSG00000265451.1_7,0,0,0,0
ENSG00000236859.8_12,0,0,0,0
ENSG00000279721.1_8,0,0,1,1
ENSG00000224655.7_9,0,0,1,1
ENSG00000286481.2_3,0,0,1,1
ENSG00000287871.1_5,0,0,1,1
ENSG00000237856.1_8,0,0,1,1
ENSG00000232740.1_8,0,0,1,1
ENSG00000287854.1_3,0,0,1,1
ENSG00000226708.1_7,0,0,1,1
ENSG00000279874.1_7,0,0,1,1
ENSG00000228400.2_11,0,0,1,1
ENSG00000286384.1_5,0,0,0,0
ENSG00000286206.1_3,0,0,1,1
ENSG00000235491.1_7,0,0,1,1
ENSG00000226813.3_9,0,0,1,1
ENSG00000286515.1_3,0,0,1,1
ENSG00000290113.1_1,0,0,1,1
ENSG00000235774.2_7,0,0,1,1
ENSG00000288524.1_4,0,0,1,1
ENSG00000260634.2_9,0,0,1,1
ENSG00000286971.1_3,0,0,1,1
ENSG00000260163.1_8,0,0,1,1
ENSG00000286400.1_5,0,0,1,1
ENSG00000286145.2_6,0,0,0,0
ENSG00000236682.4_12,0,0,0,0
ENSG00000287742.1_5,0,0,1,1
ENSG00000231731.7_15,0,0,0,0
ENSG00000272789.1_10,0,0,0,0
ENSG00000272667.1_8,0,0,1,1
ENSG00000286873.1_5,0,0,1,1
ENSG00000289982.1_1,0,0,1,1
ENSG00000237532.1_7,0,0,1,1
ENSG00000238277.1_7,0,0,1,1
ENSG00000204460.3_8,0,0,0,1
ENSG00000289374.1_1,0,0,1,1
ENSG00000229536.3_10,0,0,0,1
ENSG00000286957.1_3,0,0,1,1
ENSG00000291116.1_2,0,0,0,1
ENSG00000237574.1_6,0,0,0,1
ENSG00000290615.1_1,0,0,0,0
ENSG00000286026.1_4,0,0,1,1
ENSG00000290591.1_2,0,0,1,1
ENSG00000286058.1_7,0,0,1,1
ENSG00000291278.1_1,0,0,1,1
ENSG00000224087.1_8,0,0,0,0
ENSG00000290707.1_1,0,0,0,0
ENSG00000290596.1_2,0,0,1,1
ENSG00000290599.1_1,0,0,1,1
ENSG00000225819.1_10,0,0,0,0
ENSG00000225341.1_8,0,0,1,1
ENSG00000290610.1_2,0,0,1,1
ENSG00000290614.1_2,0,0,1,1
ENSG00000232408.1_11,0,0,1,1
ENSG00000290699.1_1,0,0,1,1
ENSG00000282944.1_4,0,0,1,1
ENSG00000290700.1_2,0,0,1,1
ENSG00000229797.2_11,0,0,0,0
ENSG00000233221.7_11,0,0,0,0
ENSG00000285819.1_4,0,0,0,0
ENSG00000290654.1_2,0,0,0,0
ENSG00000284604.1_4,0,0,0,0
ENSG00000283303.1_9,0,0,0,0
ENSG00000223631.2_9,0,0,1,1
ENSG00000273073.1_11,0,0,1,1
ENSG00000286208.1_4,0,0,1,1
ENSG00000224559.2_6,0,0,0,1
ENSG00000287151.1_4,0,0,1,1
ENSG00000290616.1_2,0,0,1,1
ENSG00000290594.1_1,0,0,1,1
ENSG00000290618.1_1,0,0,1,1
ENSG00000229203.1_10,0,0,1,1
ENSG00000244337.2_10,0,0,1,1
ENSG00000235615.2_8,0,0,1,1
ENSG00000236485.1_8,0,0,1,1
ENSG00000287414.1_3,0,0,1,1
ENSG00000230803.1_10,0,0,1,1
ENSG00000290902.1_1,0,0,1,1
ENSG00000272769.2_9,0,0,1,1
ENSG00000286833.3_4,0,0,1,1
ENSG00000230065.1_8,0,0,0,0
ENSG00000286068.1_4,0,0,0,0
